doc_id,language,resource_level,forward_model,back_model,labse_published,labse_pooled,labse_aligned
immunize/hepatitis_b,russian,high,gpt-5.1,gemini-3-pro,0.9052916169166565,0.965420126914978,0.6798932296889169
immunize/hepatitis_b,korean,medium,gpt-5.1,claude-opus-4.5,0.9069890975952148,0.978739321231842,0.7429969906806946
immunize/hepatitis_b,korean,medium,gpt-5.1,gemini-3-pro,0.9139930605888367,0.9781430959701538,0.7688732828412738
immunize/hepatitis_b,haitian_creole,low,gpt-5.1,claude-opus-4.5,0.9906554222106934,0.9827396869659424,0.8627572229930333
immunize/hepatitis_b,haitian_creole,low,gpt-5.1,gemini-3-pro,0.9878898859024048,0.9802330732345581,0.8705309544290815
immunize/hepatitis_b,spanish,high,claude-opus-4.5,gpt-5.1,0.9914895296096802,0.9892322421073914,0.8858625463077
immunize/hepatitis_b,spanish,high,claude-opus-4.5,gemini-3-pro,0.9918894171714783,0.9840933680534363,0.8553217394011361
immunize/hepatitis_b,chinese_simplified,high,claude-opus-4.5,gpt-5.1,0.9329282641410828,0.9802529811859131,0.7861726454326085
immunize/hepatitis_b,chinese_simplified,high,claude-opus-4.5,gemini-3-pro,0.9131748676300049,0.9727150797843933,0.7330111009734017
immunize/hepatitis_b,vietnamese,high,claude-opus-4.5,gpt-5.1,0.99509197473526,0.9880833029747009,0.9004527628421783
immunize/hepatitis_b,vietnamese,high,claude-opus-4.5,gemini-3-pro,0.9952260255813599,0.9861573576927185,0.8628435730934143
immunize/hepatitis_b,tagalog,low,claude-opus-4.5,gpt-5.1,0.9312257170677185,0.9838132858276367,0.7930317010198321
immunize/hepatitis_b,tagalog,low,claude-opus-4.5,gemini-3-pro,0.990581750869751,0.9690349102020264,0.7837165636675698
immunize/hepatitis_b,russian,high,claude-opus-4.5,gpt-5.1,0.950202465057373,0.9835353493690491,0.8341471041951861
immunize/hepatitis_b,russian,high,claude-opus-4.5,gemini-3-pro,0.9968029856681824,0.9876089692115784,0.8946413653237479
immunize/hepatitis_b,korean,medium,claude-opus-4.5,gpt-5.1,0.9759789705276489,0.9871820211410522,0.8934146591595241
immunize/hepatitis_b,korean,medium,claude-opus-4.5,gemini-3-pro,0.9840486645698547,0.9644221663475037,0.8186150406088147
immunize/hepatitis_b,haitian_creole,low,claude-opus-4.5,gpt-5.1,0.9286180734634399,0.9858758449554443,0.7989155394690377
immunize/hepatitis_b,haitian_creole,low,claude-opus-4.5,gemini-3-pro,0.9923717379570007,0.9965878129005432,0.9790733116013663
immunize/hepatitis_b,spanish,high,gemini-3-pro,gpt-5.1,0.8434754610061646,0.9175472855567932,0.7158225093569074
immunize/hepatitis_b,spanish,high,gemini-3-pro,claude-opus-4.5,0.8408879041671753,0.9326045513153076,0.7353114485740662
immunize/hepatitis_b,chinese_simplified,high,gemini-3-pro,gpt-5.1,0.8300842046737671,0.9242743849754333,0.730207119669233
immunize/hepatitis_b,chinese_simplified,high,gemini-3-pro,claude-opus-4.5,0.8151043653488159,0.9109096527099609,0.6834385650498527
immunize/hepatitis_b,vietnamese,high,gemini-3-pro,gpt-5.1,0.9185218214988708,0.9789804220199585,0.7629985298429217
immunize/hepatitis_b,vietnamese,high,gemini-3-pro,claude-opus-4.5,0.9123971462249756,0.9827220439910889,0.7834387932504926
immunize/hepatitis_b,tagalog,low,gemini-3-pro,gpt-5.1,0.8552236557006836,0.9055081605911255,0.7188554661614555
immunize/hepatitis_b,tagalog,low,gemini-3-pro,claude-opus-4.5,0.8541331887245178,0.9231307506561279,0.7444044096129281
immunize/hepatitis_b,russian,high,gemini-3-pro,gpt-5.1,0.8817815780639648,0.9494021534919739,0.7019818084580558
immunize/hepatitis_b,russian,high,gemini-3-pro,claude-opus-4.5,0.8818541765213013,0.9506354331970215,0.7088509287152972
immunize/hepatitis_b,korean,medium,gemini-3-pro,gpt-5.1,0.8428357839584351,0.9290712475776672,0.7287658452987671
immunize/hepatitis_b,korean,medium,gemini-3-pro,claude-opus-4.5,0.8464710116386414,0.9135429859161377,0.6933225265571049
immunize/hepatitis_b,haitian_creole,low,gemini-3-pro,gpt-5.1,0.8975372314453125,0.9695061445236206,0.7358813456126622
immunize/hepatitis_b,haitian_creole,low,gemini-3-pro,claude-opus-4.5,0.9003903865814209,0.9694474935531616,0.7350999542645046
immunize/hepatitis_b,spanish,high,kimi-k2,gpt-5.1,0.8920217156410217,0.9774821400642395,0.7682796716690063
