doc_id,model,language,resource_level,doc_category,source_words,stale_reference,labse_published,labse_pooled,labse_aligned,prof_labse_published,prof_labse_pooled
cancer/after-a-cervical-cancer-diagnosis,claude-opus-4.5,tagalog,low,cancer,1311,False,0.9976292848587036,0.9985103607177734,0.9895888831880357,0.988656759262085,0.9977014660835266
cancer/after-a-cervical-cancer-diagnosis,claude-opus-4.5,russian,high,cancer,1311,False,0.997108519077301,0.9974563717842102,0.9845111502541436,0.9559840559959412,0.9895434975624084
cancer/after-a-cervical-cancer-diagnosis,claude-opus-4.5,korean,medium,cancer,1311,False,0.9923848509788513,0.9945501089096069,0.9249695407019721,0.9860461950302124,0.9949309825897217
cancer/after-a-cervical-cancer-diagnosis,claude-opus-4.5,haitian_creole,low,cancer,1311,False,0.9982785582542419,0.9976668953895569,0.9763075047069125,0.980985701084137,0.9956820011138916
cancer/after-a-cervical-cancer-diagnosis,gemini-3-pro,spanish,high,cancer,1311,False,0.9913321733474731,0.9970558285713196,0.9711165295706855,0.9911280274391174,0.997080385684967
cancer/after-a-cervical-cancer-diagnosis,gemini-3-pro,chinese_simplified,high,cancer,1311,False,0.9878272414207458,0.9972143173217773,0.9800028204917908,0.9941495656967163,0.9945282936096191
cancer/after-a-cervical-cancer-diagnosis,gemini-3-pro,vietnamese,high,cancer,1311,False,0.9937669634819031,0.9941544532775879,0.9773167570432028,0.9803981184959412,0.9844929575920105
cancer/after-a-cervical-cancer-diagnosis,gemini-3-pro,tagalog,low,cancer,1311,False,0.9966512322425842,0.9977231025695801,0.9778061045540704,0.982660710811615,0.9958626627922058
cancer/after-a-cervical-cancer-diagnosis,gemini-3-pro,russian,high,cancer,1311,False,0.992513120174408,0.9924570322036743,0.9669053355852762,0.9564642906188965,0.9909091591835022
cancer/after-a-cervical-cancer-diagnosis,gemini-3-pro,korean,medium,cancer,1311,False,0.9862111806869507,0.9918087720870972,0.92356276512146,0.984237015247345,0.9916242361068726
cancer/after-a-cervical-cancer-diagnosis,gemini-3-pro,haitian_creole,low,cancer,1311,False,0.9915304183959961,0.9915494322776794,0.9128085136413574,0.9763498902320862,0.9867867231369019
cancer/after-a-cervical-cancer-diagnosis,kimi-k2,spanish,high,cancer,1311,False,0.9927091598510742,0.9847882986068726,0.8817428275942802,0.9812403321266174,0.9938058257102966
cancer/after-a-cervical-cancer-diagnosis,kimi-k2,chinese_simplified,high,cancer,1311,False,0.9885715246200562,0.992633044719696,0.9315406547652351,0.991166353225708,0.9933071732521057
cancer/after-a-cervical-cancer-diagnosis,kimi-k2,vietnamese,high,cancer,1311,False,0.9914218187332153,0.9949549436569214,0.9537926382488675,0.9784696102142334,0.9915608763694763
cancer/after-a-cervical-cancer-diagnosis,kimi-k2,tagalog,low,cancer,1311,False,0.9800114631652832,0.996181070804596,0.9762377407815721,0.9811667203903198,0.9961367249488831
cancer/after-a-cervical-cancer-diagnosis,kimi-k2,russian,high,cancer,1311,False,0.9855075478553772,0.9904807806015015,0.9130639731884003,0.9614769816398621,0.9884446263313293
cancer/after-a-cervical-cancer-diagnosis,kimi-k2,korean,medium,cancer,1311,False,0.9773141145706177,0.982463538646698,0.8548603422111936,0.978886067867279,0.9909601807594299
cancer/after-a-cervical-cancer-diagnosis,kimi-k2,haitian_creole,low,cancer,1311,False,0.9908491969108582,0.9975304007530212,0.9777958922915988,0.9830900430679321,0.9922945499420166
cancer/after-a-colorectal-cancer-diagnosis,gpt-5.1,spanish,high,cancer,1280,False,0.9925747513771057,0.9949058294296265,0.9448740614785088,0.991888165473938,0.9950541257858276
cancer/after-a-colorectal-cancer-diagnosis,gpt-5.1,chinese_simplified,high,cancer,1280,False,0.9924862384796143,0.9932644963264465,0.9368554751078287,0.9926956295967102,0.9951173663139343
cancer/after-a-colorectal-cancer-diagnosis,gpt-5.1,vietnamese,high,cancer,1280,False,0.9929825067520142,0.9962269067764282,0.9658224516444736,0.9814958572387695,0.9911865592002869
cancer/after-a-colorectal-cancer-diagnosis,gpt-5.1,tagalog,low,cancer,1280,False,0.9934424161911011,0.9951792359352112,0.9482462935977511,0.988552451133728,0.9946538805961609
cancer/after-a-colorectal-cancer-diagnosis,gpt-5.1,russian,high,cancer,1280,False,0.9935506582260132,0.9944546818733215,0.9554399384392632,0.9691470265388489,0.98549485206604
cancer/after-a-colorectal-cancer-diagnosis,gpt-5.1,korean,medium,cancer,1280,False,0.9829660654067993,0.9942933917045593,0.9691394633717008,0.9800789952278137,0.9950559735298157
cancer/after-a-colorectal-cancer-diagnosis,gpt-5.1,haitian_creole,low,cancer,1280,False,0.9842166304588318,0.9936855435371399,0.9330524073706733,0.9860637784004211,0.994053065776825
cancer/after-a-colorectal-cancer-diagnosis,claude-opus-4.5,spanish,high,cancer,1280,False,0.9864092469215393,0.9982007145881653,0.9831043812963698,0.9898884892463684,0.9961223006248474
cancer/after-a-colorectal-cancer-diagnosis,claude-opus-4.5,chinese_simplified,high,cancer,1280,False,0.9887861013412476,0.9969567060470581,0.9722039500872294,0.9884291887283325,0.9930684566497803
cancer/after-a-colorectal-cancer-diagnosis,claude-opus-4.5,vietnamese,high,cancer,1280,False,0.9967308640480042,0.9942946434020996,0.9568467670016818,0.978435218334198,0.9879487156867981
cancer/after-a-colorectal-cancer-diagnosis,claude-opus-4.5,tagalog,low,cancer,1280,False,0.9939244985580444,0.9973036050796509,0.9707376692030165,0.9808983206748962,0.9957011342048645
cancer/after-a-colorectal-cancer-diagnosis,claude-opus-4.5,russian,high,cancer,1280,False,0.9938360452651978,0.9963773488998413,0.9760584831237793,0.9741876721382141,0.989308774471283
cancer/after-a-colorectal-cancer-diagnosis,claude-opus-4.5,korean,medium,cancer,1280,False,0.9843633770942688,0.9924841523170471,0.9184866083992852,0.9839789271354675,0.9942448735237122
cancer/after-a-colorectal-cancer-diagnosis,claude-opus-4.5,haitian_creole,low,cancer,1280,False,0.9985911250114441,0.9983288645744324,0.9892370369699266,0.9813138246536255,0.9921737313270569
cancer/after-a-colorectal-cancer-diagnosis,gemini-3-pro,spanish,high,cancer,1280,False,0.9909882545471191,0.9934253096580505,0.9380040433671739,0.9913141131401062,0.9951390624046326
cancer/after-a-colorectal-cancer-diagnosis,gemini-3-pro,chinese_simplified,high,cancer,1280,False,0.9921262860298157,0.995582640171051,0.962168018023173,0.9891721606254578,0.9937716722488403
cancer/after-a-colorectal-cancer-diagnosis,gemini-3-pro,vietnamese,high,cancer,1280,False,0.9960129857063293,0.9967949986457825,0.9807853831185235,0.9811999201774597,0.9873644709587097
cancer/after-a-colorectal-cancer-diagnosis,gemini-3-pro,tagalog,low,cancer,1280,False,0.9974049925804138,0.9987763166427612,0.9898498389456007,0.9784735441207886,0.9941436648368835
cancer/after-a-colorectal-cancer-diagnosis,gemini-3-pro,russian,high,cancer,1280,False,0.983389675617218,0.9939447045326233,0.9546675218476189,0.9611977934837341,0.985900342464447
cancer/after-a-colorectal-cancer-diagnosis,gemini-3-pro,korean,medium,cancer,1280,False,0.973275899887085,0.9896262884140015,0.9486038155025907,0.9728966951370239,0.9876113533973694
cancer/after-a-colorectal-cancer-diagnosis,gemini-3-pro,haitian_creole,low,cancer,1280,False,0.989734947681427,0.9927073121070862,0.9335824847221375,0.9851345419883728,0.9935527443885803
cancer/after-a-colorectal-cancer-diagnosis,kimi-k2,spanish,high,cancer,1280,False,0.9887356162071228,0.9851892590522766,0.8547860220074653,0.9819082617759705,0.9920766949653625
cancer/after-a-colorectal-cancer-diagnosis,kimi-k2,chinese_simplified,high,cancer,1280,False,0.990044116973877,0.9923475384712219,0.9269040094481574,0.9892140626907349,0.9920575618743896
cancer/after-a-colorectal-cancer-diagnosis,kimi-k2,vietnamese,high,cancer,1280,False,0.9902744889259338,0.9915936589241028,0.9476791090435452,0.9715278148651123,0.9831100106239319
cancer/after-a-colorectal-cancer-diagnosis,kimi-k2,tagalog,low,cancer,1280,False,0.9946914315223694,0.9973990321159363,0.9712719718615214,0.980351448059082,0.9934566020965576
cancer/after-a-colorectal-cancer-diagnosis,kimi-k2,russian,high,cancer,1280,False,0.98919278383255,0.9964134097099304,0.977623720963796,0.9546915888786316,0.985531747341156
